Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
org.jfree.chart.StandardChartTheme.applyToFastScatterPlot(FastScatterPlot),2,1,3,3
org.jfree.chart.StandardChartTheme.applyToMeterPlot(MeterPlot),0,1,1,1
org.jfree.chart.StandardChartTheme.applyToMultiplePiePlot(MultiplePiePlot),0,1,1,1
org.jfree.chart.StandardChartTheme.applyToPeriodAxis(PeriodAxis),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToPiePlot(PiePlot),3,1,4,4
org.jfree.chart.StandardChartTheme.applyToPlot(Plot),11,1,12,12
org.jfree.chart.StandardChartTheme.applyToPolarPlot(PolarPlot),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToSpiderWebPlot(SpiderWebPlot),0,1,1,1
org.jfree.chart.StandardChartTheme.applyToSymbolAxis(SymbolAxis),0,1,1,1
org.jfree.chart.StandardChartTheme.applyToThermometerPlot(ThermometerPlot),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToTitle(Title),16,1,10,10
org.jfree.chart.StandardChartTheme.applyToValueAxis(ValueAxis),2,1,3,3
org.jfree.chart.StandardChartTheme.applyToXYAnnotation(XYAnnotation),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToXYItemRenderer(XYItemRenderer),2,1,3,3
org.jfree.chart.StandardChartTheme.applyToXYPlot(XYPlot<S>),22,1,14,14
org.jfree.chart.StandardChartTheme.clone(),0,1,1,1
org.jfree.chart.StandardChartTheme.createDarknessTheme(),0,1,1,1
org.jfree.chart.StandardChartTheme.createJFreeTheme(),0,1,1,1
org.jfree.chart.StandardChartTheme.createLegacyTheme(),0,1,1,1
org.jfree.chart.StandardChartTheme.equals(Object),32,33,1,33
org.jfree.chart.StandardChartTheme.getAxisLabelPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getAxisOffset(),0,1,1,1
org.jfree.chart.StandardChartTheme.getBarPainter(),0,1,1,1
org.jfree.chart.StandardChartTheme.getBaselinePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getChartBackgroundPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getCrosshairPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getDomainGridlinePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getDrawingSupplier(),3,2,2,3
org.jfree.chart.StandardChartTheme.getErrorIndicatorPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getExtraLargeFont(),0,1,1,1
org.jfree.chart.StandardChartTheme.getGridBandAlternatePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getGridBandPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getItemLabelPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getLabelLinkPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getLabelLinkStyle(),0,1,1,1
org.jfree.chart.StandardChartTheme.getLargeFont(),0,1,1,1
org.jfree.chart.StandardChartTheme.getLegendBackgroundPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getLegendItemPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getName(),0,1,1,1
org.jfree.chart.StandardChartTheme.getPlotBackgroundPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getPlotOutlinePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getRangeGridlinePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getRegularFont(),0,1,1,1
org.jfree.chart.StandardChartTheme.getShadowPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getSmallFont(),0,1,1,1
org.jfree.chart.StandardChartTheme.getSubtitlePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getThermometerPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getTickLabelPaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getTitlePaint(),0,1,1,1
org.jfree.chart.StandardChartTheme.getXYBarPainter(),0,1,1,1
org.jfree.chart.StandardChartTheme.hashCode(),1,1,1,2
org.jfree.chart.StandardChartTheme.isShadowVisible(),0,1,1,1
org.jfree.chart.StandardChartTheme.readObject(ObjectInputStream),0,1,1,1
